Crash_Key, WZ_Related, WZ_Loc, WZ_Type, Workers
2002003586, 1, 4, 1, 1
2002003680, 1, 4, 4, 1
2002004110, 1, 4, 2, 2
2002004246, 1, 4, 3, 2
2002005960, 1, 1, 1, 1
2002009557, 1, 4, 1, 1
2002010194, 1, 1, 4, 1
2002010810, 1, 8, 8, 1
2002011826, 1, 4, 3, 1
2002011948, 1, 8, 1, 9
2002012617, 1, 8, 3, 1
2002012781, 1, 2, 4, 1
2002013095, 1, 1, 3, 1
2002013337, 1, 8, 3, 2
2002013360, 1, 1, 1, 2
2002013630, 1, 2, 3, 1
2002013667, 1, 8, 3, 2
2002014229, 1, 8, 3, 1
2002014270, 1, 4, 8, 2
2002014637, 1, 3, 1, 2
2002014694, 1, 4, 1, 2
2002014888, 1, 5, 1, 9
2002015048, 1, 2, 1, 2
2002015056, 1, 2, 1, 2
2002015191, 1, 3, 1, 1
2002015386, 1, 5, 1, 2
2002015602, 1, 3, 2, 1
2002015614, 1, 3, 1, 2
2002015960, 1, 3, 1, 2
2002016004, 1, 2, 8, 2
2002016089, 1, 4, 1, 1
2002016130, 1, 2, 1, 2
2002016354, 1, 3, 8, 2
2002016581, 1, 3, 1, 1
2002016620, 1, 8, 8, 2
2002016657, 1, 4, 1, 2
2002016724, 1, 3, 1, 2
2002016871, 1, 2, 1, 1
2002016888, 1, 5, 1, 2
2002016896, 1, 4, 1, 9
2002017099, 1, 3, 1, 2
2002017100, 1, 4, 1, 1
2002017101, 1, 2, 1, 2
2002017132, 1, 3, 2, 1
2002017140, 1, 4, 1, 2
2002017240, 1, 4, 3, 2
2002017284, 1, 8, 1, 2
2002017350, 1, 3, 4, 1
2002017449, 1, 4, 8, 1
2002017661, 1, 8, 8, 2
2002018062, 1, 2, 1, 2
2002018205, 1, 4, 1, 2
2002018250, 1, 4, 1, 9
2002018371, 1, 4, 8, 1
2002018516, 1, 8, 8, 1
2002018534, 1, 2, 2, 2
2002018627, 1, 4, 1, 2
2002019076, 1, 8, 1, 2
2002019087, 1, 2, 3, 1
2002019100, 1, 3, 2, 2
2002019211, 1, 8, 8, 1
2002019228, 1, 2, 1, 2
2002019356, 1, 5, 1, 2
2002019622, 1, 4, 8, 2
2002019631, 1, 5, 8, 2
2002019646, 1, 4, 3, 2
2002019690, 1, 4, 3, 1
2002019721, 1, 3, 1, 1
2002019818, 1, 4, 3, 1
2002019926, 1, 1, 1, 2
2002020045, 1, 4, 3, 2
2002020292, 1, 4, 1, 1
2002020337, 1, 1, 1, 2
2002020370, 1, 4, 1, 1
2002020410, 1, 4, 3, 1
2002020470, 1, 1, 1, 2
2002020618, 1, 4, 1, 9
2002020798, 1, 4, 1, 1
2002020911, 1, 1, 1, 1
2002021054, 1, 4, 2, 2
2002021067, 1, 4, 1, 2
2002021142, 1, 2, 8, 2
2002021257, 1, 2, 2, 1
2002021322, 1, 4, 1, 2
2002021407, 1, 8, 3, 2
2002021550, 1, 4, 1, 2
2002021783, 1, 2, 1, 1
2002021815, 1, 2, 1, 1
2002021918, 1, 2, 1, 2
2002021927, 1, 4, 3, 2
